merchant_a,merchant_b,edge_weight
34,138,0.04
34,234,0.04
34,253,0.04
34,430,0.04
35,1,0.04
35,16,0.04
35,19,0.04
35,72,0.06
35,180,0.04
35,184,0.04
35,255,0.06
35,281,0.04
35,282,0.04
35,305,0.04
35,441,0.04
35,484,0.04
36,26,0.04
36,104,0.04
36,109,0.04
36,139,0.04
36,180,0.04
36,193,0.04
36,200,0.04
36,240,0.04
36,261,0.04
36,323,0.04
36,390,0.04
37,77,0.04
37,176,0.04
37,281,0.04
37,324,0.04
37,385,0.06
37,386,0.04
37,464,0.04
37,468,0.04
37,479,0.04
37,484,0.04
38,87,0.04
38,117,0.04
38,121,0.04
38,170,0.04
39,91,0.04
39,128,0.04
39,130,0.04
39,134,0.04
39,140,0.04
39,236,0.04
39,239,0.04
39,288,0.04
39,449,0.04
40,78,0.04
40,84,0.04
40,122,0.04
40,142,0.04
40,144,0.04
40,160,0.04
40,207,0.04
40,323,0.04
40,326,0.04
40,351,0.04
40,363,0.04
40,370,0.06
40,383,0.04
40,451,0.04
40,452,0.04
40,467,0.04
40,484,0.04
41,9,0.04
41,31,0.08
41,302,0.04
41,344,0.04
41,372,0.04
41,389,0.04
41,407,0.04
41,463,0.04
41,464,0.04
42,16,0.04
42,46,0.04
42,85,0.04
42,144,0.04
42,178,0.04
42,300,0.04
42,412,0.04
42,432,0.04
43,14,0.04
43,95,0.04
43,97,0.04
43,161,0.04
43,215,0.04
43,225,0.04
43,233,0.04
43,242,0.04
43,289,0.04
43,307,0.04
43,337,0.04
43,365,0.04
43,474,0.04
43,498,0.04
44,194,0.04
44,452,0.04
45,31,0.04
45,79,0.04
45,151,0.04
45,357,0.04
45,455,0.04
46,42,0.04
46,47,0.04
46,62,0.04
46,111,0.04
46,157,0.04
46,161,0.04
46,211,0.04
46,227,0.06
46,289,0.04
46,355,0.04
46,364,0.04
46,412,0.04
46,424,0.04
46,425,0.04
46,436,0.04
46,456,0.04
46,483,0.04
47,46,0.04
47,208,0.04
47,344,0.04
47,361,0.04
47,384,0.04
47,468,0.06
48,2,0.04
48,26,0.04
48,61,0.04
48,63,0.04
48,67,0.04
48,79,0.04
48,80,0.06
48,90,0.04
48,137,0.04
48,149,0.06
48,150,0.04
48,151,0.04
48,155,0.04
48,184,0.04
48,191,0.04
48,193,0.04
48,244,0.06
48,253,0.04
48,270,0.04
48,272,0.04
48,276,0.04
48,338,0.04
48,342,0.06
48,363,0.04
49,79,0.04
49,217,0.04
49,248,0.04
49,283,0.04
49,447,0.04
49,488,0.04
50,405,0.04
50,427,0.04
51,63,0.04
51,211,0.04
51,247,0.04
51,284,0.04
51,294,0.04
51,342,0.04
51,384,0.04
51,452,0.04
53,171,0.04
53,193,0.04
53,210,0.04
53,256,0.04
53,374,0.04
54,32,0.04
54,170,0.04
54,182,0.04
54,207,0.04
54,280,0.04
54,308,0.04
54,328,0.04
54,329,0.04
54,398,0.04
54,435,0.04
54,458,0.04
55,5,0.04
55,294,0.04
55,298,0.04
55,365,0.06
55,460,0.04
56,188,0.04
56,207,0.04
56,215,0.04
56,409,0.04
56,435,0.04
57,15,0.04
57,33,0.04
57,156,0.04
57,216,0.04
57,295,0.04
57,336,0.04
57,368,0.04
57,485,0.04
58,176,0.04
58,215,0.04
58,449,0.04
58,450,0.04
59,30,0.04
59,72,0.04
59,191,0.04
59,265,0.04
59,289,0.06
59,333,0.04
59,364,0.04
59,379,0.04
59,401,0.04
59,438,0.04
59,450,0.04
60,9,0.04
60,27,0.04
60,30,0.04
60,208,0.04
60,215,0.04
60,240,0.04
60,338,0.04
60,375,0.04
60,412,0.04
60,485,0.04
61,48,0.04
61,139,0.04
61,244,0.04
62,46,0.04
62,85,0.04
62,109,0.04
62,289,0.04
62,299,0.04
62,402,0.04
62,408,0.04
62,428,0.04
62,442,0.04
63,48,0.04
63,51,0.04
63,77,0.04
63,221,0.04
63,384,0.04
63,398,0.04
63,400,0.04
63,423,0.04
63,475,0.04
63,500,0.04
64,30,0.04
64,32,0.04
64,173,0.04
64,301,0.06
64,349,0.04
64,352,0.04
64,373,0.06
64,384,0.04
64,393,0.04
64,499,0.04
65,5,0.04
65,34,0.04
65,92,0.04
65,208,0.06
65,308,0.04
66,11,0.04
66,12,0.04
66,258,0.06
66,324,0.04
66,327,0.04
66,386,0.04
66,432,0.04
66,459,0.04
66,480,0.04
67,48,0.04
67,158,0.04
67,164,0.04
67,308,0.04
68,241,0.04
68,285,0.04
69,268,0.04
69,401,0.04
70,79,0.04
70,117,0.04
70,208,0.04
70,374,0.04
70,500,0.04
72,35,0.06
72,59,0.04
72,108,0.04
72,175,0.04
72,192,0.04
72,238,0.04
72,265,0.04
73,207,0.04
73,443,0.04
73,450,0.04
74,119,0.04
74,225,0.04
74,373,0.04
74,375,0.04
74,438,0.04
74,500,0.04
75,368,0.04
76,81,0.04
76,90,0.04
76,93,0.04
76,155,0.06
76,161,0.04
76,180,0.04
76,241,0.04
76,253,0.04
76,350,0.04
76,363,0.04
76,435,0.04
76,465,0.04
76,500,0.04
77,37,0.04
77,63,0.04
77,175,0.04
77,319,0.04
77,391,0.04
77,419,0.04
77,481,0.04
78,40,0.04
78,140,0.04
78,198,0.04
78,212,0.04
78,248,0.08
78,251,0.06
78,408,0.04
78,447,0.04
78,487,0.04
79,45,0.04
79,48,0.04
79,49,0.04
79,70,0.04
79,193,0.04
79,261,0.04
79,290,0.04
79,298,0.04
79,303,0.04
79,331,0.04
79,365,0.04
79,500,0.04
80,48,0.06
80,85,0.04
80,117,0.04
80,135,0.04
80,139,0.04
80,269,0.04
80,276,0.04
80,278,0.06
80,316,0.04
80,336,0.04
80,337,0.04
80,388,0.04
80,469,0.04
81,76,0.04
81,114,0.04
81,374,0.04
81,450,0.04
81,456,0.04
81,464,0.04
82,95,0.04
82,160,0.04
82,175,0.04
82,197,0.04
82,209,0.04
82,225,0.04
82,235,0.04
82,352,0.04
82,480,0.04
83,174,0.04
84,31,0.04
84,40,0.04
84,85,0.04
84,254,0.04
84,293,0.04
84,296,0.04
84,300,0.04
84,333,0.04
84,419,0.04
84,432,0.04
84,440,0.04
84,475,0.04
85,26,0.06
85,42,0.04
85,62,0.04
85,80,0.04
85,84,0.04
85,95,0.04
85,127,0.04
85,140,0.04
85,152,0.04
85,155,0.04
85,168,0.04
85,176,0.04
85,195,0.04
85,215,0.04
85,281,0.06
85,288,0.04
85,299,0.04
85,326,0.04
85,336,0.04
85,373,0.04
86,2,0.06
86,33,0.04
86,160,0.04
86,163,0.04
86,173,0.04
86,192,0.04
86,202,0.04
86,209,0.04
86,222,0.04
86,251,0.04
86,271,0.04
86,312,0.04
86,323,0.04
86,384,0.04
86,400,0.04
86,417,0.04
86,427,0.04
86,493,0.06
87,38,0.04
87,227,0.04
87,234,0.04
87,249,0.04
87,328,0.04
88,110,0.04
88,144,0.04
88,152,0.04
88,192,0.04
88,199,0.04
88,211,0.04
88,245,0.04
88,298,0.04
88,406,0.04
89,5,0.04
89,12,0.04
89,23,0.04
89,105,0.04
89,130,0.04
89,171,0.04
89,188,0.04
89,191,0.04
89,197,0.04
89,198,0.04
89,276,0.04
89,279,0.04
89,282,0.04
89,283,0.04
89,329,0.04
89,331,0.04
89,336,0.04
89,343,0.04
89,365,0.04
89,367,0.04
89,398,0.04
89,412,0.06
89,438,0.04
89,449,0.04
89,478,0.04
89,491,0.04
89,493,0.04
89,498,0.04
90,48,0.04
90,76,0.04
90,129,0.04
90,164,0.04
90,225,0.04
90,317,0.04
90,328,0.04
90,338,0.04
90,491,0.06
91,29,0.04
91,39,0.04
91,241,0.04
91,257,0.04
91,325,0.04
91,365,0.04
91,397,0.04
91,417,0.04
91,442,0.04
91,452,0.04
92,17,0.04
92,65,0.04
92,190,0.04
92,245,0.04
92,301,0.04
92,319,0.04
92,344,0.04
92,408,0.04
92,439,0.04
92,476,0.04
93,76,0.04
93,246,0.04
93,355,0.04
93,465,0.04
94,290,0.04
94,375,0.04
95,16,0.04
95,19,0.04
95,43,0.04
95,82,0.04
95,85,0.04
95,139,0.04
95,145,0.04
95,268,0.04
95,289,0.04
95,300,0.04
95,368,0.04
95,375,0.04
95,470,0.04
96,141,0.04
96,173,0.06
96,281,0.04
96,332,0.04
96,368,0.04
96,384,0.08
97,1,0.04
97,43,0.04
97,188,0.04
97,368,0.04
97,429,0.04
98,150,0.04
99,210,0.04
99,247,0.04
99,271,0.04
99,303,0.04
99,346,0.04
100,27,0.04
100,134,0.04
100,147,0.04
100,325,0.06
100,468,0.06
101,154,0.04
101,163,0.04
101,294,0.04
101,468,0.04
101,469,0.04
101,491,0.04
102,31,0.04
102,160,0.04
102,202,0.04
102,256,0.04
102,302,0.04
102,500,0.04
103,283,0.04
103,477,0.04
104,36,0.04
105,89,0.04
105,294,0.04
105,296,0.04
105,432,0.04
106,28,0.04
106,299,0.04
106,348,0.04
106,476,0.04
107,323,0.04
108,72,0.04
108,292,0.04
108,355,0.04
108,364,0.04
108,488,0.04
109,4,0.04
109,17,0.04
109,36,0.04
109,62,0.04
109,169,0.08
109,171,0.04
109,180,0.06
109,232,0.04
109,275,0.04
109,277,0.04
109,290,0.04
109,321,0.04
109,331,0.04
109,337,0.04
109,343,0.04
109,368,0.04
109,379,0.04
109,436,0.06
109,484,0.04
110,12,0.04
110,88,0.04
110,111,0.04
110,117,0.06
110,130,0.04
110,146,0.04
110,219,0.04
110,243,0.04
110,247,0.04
110,264,0.04
110,277,0.04
110,297,0.04
110,338,0.04
110,384,0.04
110,414,0.04
110,442,0.04
110,459,0.04
110,466,0.06
110,467,0.04
111,5,0.04
111,15,0.04
111,30,0.04
111,46,0.04
111,110,0.04
111,117,0.04
111,128,0.04
111,162,0.04
111,181,0.04
111,211,0.04
111,295,0.04
111,298,0.04
111,333,0.04
111,338,0.04
111,351,0.04
111,361,0.04
111,363,0.04
111,384,0.04
111,406,0.04
111,424,0.04
111,481,0.04
112,164,0.04
112,484,0.04
113,29,0.04
113,144,0.04
113,147,0.04
113,242,0.04
113,346,0.04
113,384,0.04
114,19,0.04
114,81,0.04
114,115,0.04
114,131,0.04
114,248,0.04
114,300,0.04
114,321,0.04
114,322,0.04
114,343,0.04
114,365,0.04
114,449,0.04
114,450,0.04
115,114,0.04
115,182,0.04
115,225,0.04
115,307,0.04
116,1,0.04
116,2,0.04
116,197,0.04
116,318,0.04
116,451,0.04
117,12,0.04
117,14,0.04
117,27,0.04
117,38,0.04
117,70,0.04
117,80,0.04
117,110,0.06
117,111,0.04
117,158,0.06
117,177,0.04
117,241,0.04
117,276,0.04
117,398,0.04
117,414,0.04
117,430,0.04
117,436,0.04
118,22,0.04
118,140,0.04
118,160,0.04
118,165,0.04
118,219,0.04
118,289,0.04
118,324,0.04
118,375,0.04
118,419,0.06
118,447,0.04
119,74,0.04
119,196,0.04
119,255,0.04
119,278,0.04
119,311,0.04
119,323,0.04
119,327,0.04
119,383,0.04
119,474,0.04
120,244,0.04
120,319,0.04
120,449,0.04
120,481,0.04
121,4,0.04
121,27,0.04
121,38,0.04
121,122,0.04
121,143,0.04
121,184,0.04
121,235,0.04
121,281,0.04
121,349,0.04
121,463,0.04
121,483,0.04
122,40,0.04
122,121,0.04
122,188,0.06
122,270,0.04
122,303,0.04
122,380,0.04
122,406,0.06
122,414,0.06
122,436,0.04
122,449,0.04
122,467,0.04
123,29,0.04
123,210,0.04
123,349,0.04
123,363,0.04
124,23,0.04
124,229,0.04
124,289,0.04
124,327,0.04
125,4,0.04
125,234,0.04
125,437,0.04
125,467,0.04
126,4,0.04
126,184,0.04
126,217,0.04
126,377,0.04
126,429,0.06
126,436,0.04
127,85,0.04
128,39,0.04
128,111,0.04
128,280,0.04
128,358,0.04
128,365,0.04
128,368,0.04
128,425,0.04
128,493,0.04
129,90,0.04
129,158,0.04
129,212,0.04
129,225,0.04
129,251,0.04
129,255,0.04
129,308,0.06
129,325,0.06
129,391,0.04
129,392,0.04
129,461,0.06
130,2,0.04
130,32,0.04
130,39,0.04
130,89,0.04
130,110,0.04
130,174,0.04
130,190,0.04
130,205,0.04
130,228,0.04
130,243,0.04
130,281,0.04
130,306,0.04
130,389,0.04
131,114,0.04
131,173,0.04
131,176,0.04
131,194,0.04
131,206,0.04
131,314,0.04
131,325,0.04
131,370,0.04
131,405,0.04
131,459,0.04
132,20,0.04
132,22,0.04
132,167,0.04
132,383,0.04
132,418,0.04
132,476,0.04
133,22,0.04
133,26,0.04
133,212,0.04
133,262,0.04
133,285,0.04
133,464,0.04
133,479,0.04
134,39,0.04
134,100,0.04
134,228,0.04
134,248,0.04
134,267,0.04
134,346,0.04
134,355,0.04
134,364,0.04
135,80,0.04
135,197,0.04
135,272,0.04
135,280,0.04
135,383,0.06
135,483,0.04
136,169,0.04
136,170,0.04
136,173,0.04
136,248,0.04
136,267,0.04
136,275,0.04
136,297,0.06
136,299,0.04
136,342,0.04
136,436,0.04
136,473,0.04
137,48,0.04
137,166,0.04
137,197,0.04
137,254,0.04
137,257,0.04
137,326,0.04
137,355,0.04
137,356,0.04
137,362,0.06
137,364,0.04
137,378,0.04
137,425,0.04
137,478,0.04
138,15,0.04
138,34,0.04
138,148,0.04
138,165,0.04
138,225,0.04
138,251,0.04
138,425,0.04
138,469,0.04
138,472,0.04
139,36,0.04
139,61,0.04
139,80,0.04
139,95,0.04
139,173,0.04
139,244,0.04
139,334,0.04
139,365,0.04
139,405,0.04
139,436,0.04
139,450,0.04
139,467,0.04
140,1,0.04
140,10,0.04
140,22,0.04
140,39,0.04
140,78,0.04
140,85,0.04
140,118,0.04
140,171,0.04
140,174,0.04
140,195,0.06
140,209,0.04
140,219,0.04
140,318,0.04
140,328,0.04
140,330,0.06
140,338,0.04
140,350,0.04
140,378,0.04
140,391,0.06
140,447,0.04
140,464,0.04
141,96,0.04
141,150,0.04
141,173,0.04
141,193,0.04
141,261,0.04
141,271,0.04
141,286,0.04
141,287,0.04
141,305,0.04
141,338,0.06
141,384,0.06
141,493,0.04
142,14,0.04
142,40,0.04
142,212,0.04
143,121,0.04
143,281,0.04
143,328,0.04
143,356,0.04
143,368,0.04
143,452,0.04
143,460,0.04
143,484,0.04
143,488,0.04
144,12,0.04
144,40,0.04
144,42,0.04
144,88,0.04
144,113,0.04
144,151,0.06
144,192,0.04
144,202,0.04
144,227,0.04
144,230,0.04
144,242,0.04
144,293,0.04
144,307,0.04
144,335,0.04
144,390,0.04
144,430,0.04
144,452,0.06
144,482,0.04
144,499,0.04
145,95,0.04
145,163,0.04
145,182,0.04
145,497,0.04
146,31,0.04
146,110,0.04
146,231,0.04
146,253,0.04
146,292,0.04
146,327,0.04
146,347,0.04
146,348,0.04
146,391,0.04
146,460,0.04
146,491,0.04
147,100,0.04
147,113,0.04
147,209,0.04
147,318,0.04
147,457,0.04
147,464,0.04
148,138,0.04
148,212,0.04
148,289,0.04
148,382,0.04
148,407,0.04
148,452,0.04
148,456,0.04
148,472,0.04
148,474,0.04
149,30,0.04
149,48,0.06
149,151,0.04
149,210,0.04
149,225,0.04
149,384,0.04
149,400,0.04
149,407,0.04
149,436,0.04
150,29,0.04
150,48,0.04
150,98,0.04
150,141,0.04
150,240,0.04
150,334,0.04
150,361,0.04
150,383,0.04
150,439,0.04
150,452,0.04
151,2,0.04
151,11,0.04
151,45,0.04
151,48,0.04
151,144,0.06
151,149,0.04
151,155,0.04
151,160,0.04
151,176,0.04
151,242,0.06
151,256,0.04
151,264,0.06
151,269,0.04
151,327,0.04
151,349,0.04
151,361,0.04
151,365,0.04
151,393,0.04
151,414,0.04
151,430,0.06
151,447,0.04
151,487,0.06
152,85,0.04
152,88,0.04
152,158,0.06
152,252,0.04
152,281,0.04
152,289,0.04
152,303,0.04
152,324,0.04
152,361,0.04
152,368,0.04
152,370,0.04
152,402,0.04
152,443,0.06
152,474,0.04
153,193,0.04
153,490,0.04
154,30,0.04
154,101,0.04
154,192,0.04
154,289,0.04
154,355,0.04
154,403,0.04
155,2,0.04
155,48,0.04
155,76,0.06
155,85,0.04
155,151,0.04
155,160,0.06
155,297,0.04
155,321,0.04
155,364,0.04
155,366,0.04
155,367,0.04
155,396,0.04
155,411,0.04
155,435,0.04
156,57,0.04
156,216,0.04
156,241,0.04
156,365,0.06
156,389,0.04
156,402,0.04
156,441,0.04
157,46,0.04
157,158,0.04
157,168,0.06
157,192,0.04
157,241,0.04
157,325,0.04
157,343,0.04
157,401,0.04
158,19,0.04
158,25,0.06
158,27,0.08
158,67,0.04
158,117,0.06
158,129,0.04
158,152,0.06
158,157,0.04
158,168,0.04
158,196,0.04
158,197,0.04
158,208,0.04
158,232,0.04
158,252,0.04
158,254,0.04
158,256,0.06
158,263,0.04
158,281,0.04
158,283,0.04
158,289,0.06
158,292,0.04
158,306,0.04
158,308,0.04
158,309,0.04
158,311,0.04
158,320,0.04
158,323,0.04
158,326,0.04
158,343,0.04
158,350,0.04
158,358,0.04
158,368,0.04
158,384,0.04
158,400,0.04
158,403,0.04
158,414,0.04
158,427,0.04
158,430,0.04
158,434,0.04
158,450,0.06
158,474,0.04
158,498,0.04
159,306,0.04
160,22,0.04
160,40,0.04
160,82,0.04
160,86,0.04
160,102,0.04
160,118,0.04
160,151,0.04
160,155,0.06
160,173,0.04
160,175,0.04
160,213,0.04
160,276,0.04
160,297,0.04
160,327,0.04
160,346,0.04
160,394,0.04
160,407,0.04
160,466,0.04
161,43,0.04
161,46,0.04
161,76,0.04
161,212,0.04
161,328,0.04
162,111,0.04
162,197,0.04
163,8,0.04
163,13,0.04
163,86,0.04
163,101,0.04
163,145,0.04
163,182,0.04
163,192,0.04
163,202,0.04
163,217,0.04
163,244,0.04
163,310,0.04
163,344,0.04
163,361,0.04
163,411,0.04
163,492,0.04
164,67,0.04
164,90,0.04
164,112,0.04
164,452,0.06
165,118,0.04
165,138,0.04
165,177,0.04
165,309,0.04
166,27,0.04
166,137,0.04
166,233,0.04
166,244,0.04
166,256,0.04
166,311,0.04
166,330,0.04
166,375,0.04
166,450,0.04
166,484,0.04
167,132,0.04
168,85,0.04
168,157,0.06
168,158,0.04
168,258,0.04
168,264,0.04
168,276,0.04
168,449,0.04
168,486,0.04
169,109,0.08
169,136,0.04
169,279,0.04
169,299,0.04
169,455,0.04
169,498,0.04
170,5,0.04
170,12,0.04
170,16,0.04
170,28,0.04
170,38,0.04
170,54,0.04
170,136,0.04
170,239,0.04
170,268,0.04
170,313,0.04
170,449,0.04
170,450,0.04
170,458,0.04
170,471,0.06
170,484,0.06
171,33,0.04
171,53,0.04
171,89,0.04
171,109,0.04
171,140,0.04
171,219,0.04
171,270,0.04
171,300,0.04
171,302,0.04
171,303,0.04
171,343,0.04
171,368,0.06
171,418,0.04
171,437,0.04
171,498,0.04
172,2,0.04
172,237,0.04
172,251,0.04
172,289,0.04
172,307,0.04
172,315,0.04
172,363,0.04
172,387,0.04
173,8,0.04
173,64,0.04
173,86,0.04
173,96,0.06
173,131,0.04
173,136,0.04
173,139,0.04
173,141,0.04
173,160,0.04
173,208,0.04
173,228,0.04
173,290,0.04
173,295,0.04
173,342,0.04
173,384,0.06
173,392,0.04
173,396,0.04
173,404,0.04
173,453,0.04
173,456,0.04
174,83,0.04
174,130,0.04
174,140,0.04
174,274,0.04
174,279,0.04
174,286,0.04
174,315,0.04
174,417,0.04
175,72,0.04
175,77,0.04
175,82,0.04
175,160,0.04
175,213,0.04
175,309,0.04
175,382,0.04
175,383,0.04
176,37,0.04
176,58,0.04
176,85,0.04
176,131,0.04
176,151,0.04
176,229,0.04
176,340,0.04
176,357,0.06
176,364,0.04
177,117,0.04
177,165,0.04
177,194,0.04
177,225,0.04
177,296,0.04
177,299,0.04
177,452,0.04
178,42,0.04
178,197,0.06
178,295,0.06
178,323,0.04
178,391,0.04
178,412,0.04
178,435,0.04
178,446,0.04
179,211,0.04
180,9,0.04
180,35,0.04
180,36,0.04
180,76,0.04
180,109,0.06
180,193,0.04
180,205,0.04
180,220,0.04
180,241,0.04
180,316,0.04
180,323,0.04
180,342,0.04
180,344,0.04
180,434,0.04
180,455,0.04
180,500,0.04
181,111,0.04
181,216,0.04
182,1,0.04
182,54,0.04
182,115,0.04
182,145,0.04
182,163,0.04
182,243,0.04
182,280,0.04
182,300,0.04
182,364,0.04
182,415,0.04
183,28,0.04
183,264,0.04
183,293,0.04
183,300,0.04
183,340,0.04
183,460,0.04
184,35,0.04
184,48,0.04
184,121,0.04
184,126,0.04
184,191,0.04
184,228,0.04
184,239,0.04
184,243,0.04
184,246,0.04
184,255,0.04
184,270,0.04
184,294,0.04
184,296,0.04
185,256,0.04
185,396,0.04
185,402,0.04
186,192,0.04
186,278,0.04
186,284,0.04
186,289,0.04
186,320,0.04
186,361,0.04
186,461,0.04
186,480,0.04
186,482,0.04
186,498,0.08
187,207,0.04
187,251,0.04
187,289,0.04
187,403,0.04
188,18,0.04
188,56,0.04
188,89,0.04
188,97,0.04
188,122,0.06
188,212,0.04
188,315,0.04
188,331,0.04
188,337,0.04
188,412,0.04
188,424,0.04
188,498,0.04
189,315,0.04
189,401,0.04
189,427,0.04
190,2,0.04
190,92,0.04
190,130,0.04
190,194,0.04
190,281,0.04
190,369,0.04
191,48,0.04
191,59,0.04
191,89,0.04
191,184,0.04
191,209,0.04
191,299,0.04
191,383,0.04
191,389,0.04
191,397,0.04
191,412,0.06
191,427,0.04
191,456,0.04
192,72,0.04
192,86,0.04
192,88,0.04
192,144,0.04
192,154,0.04
192,157,0.04
192,163,0.04
192,186,0.04
192,218,0.04
192,219,0.04
192,256,0.04
192,265,0.04
192,315,0.04
192,317,0.04
192,325,0.04
192,332,0.04
192,338,0.04
192,403,0.04
192,493,0.04
192,498,0.04
192,499,0.04
193,1,0.04
193,36,0.04
193,48,0.04
193,53,0.04
193,79,0.04
193,141,0.04
193,153,0.04
193,180,0.04
193,338,0.04
193,361,0.04
193,391,0.04
193,476,0.04
194,44,0.04
194,131,0.04
194,177,0.04
194,190,0.04
194,291,0.04
194,333,0.04
194,361,0.04
194,405,0.04
194,452,0.04
194,468,0.04
195,2,0.04
195,5,0.04
195,31,0.04
195,85,0.04
195,140,0.06
195,235,0.04
195,402,0.04
196,119,0.04
196,158,0.04
196,217,0.04
196,368,0.04
197,8,0.04
197,22,0.04
197,27,0.04
197,82,0.04
197,89,0.04
197,116,0.04
197,135,0.04
197,137,0.04
197,158,0.04
197,162,0.04
197,178,0.06
197,207,0.04
197,215,0.04
197,225,0.04
197,236,0.04
197,254,0.04
197,318,0.04
197,325,0.04
197,334,0.04
197,360,0.04
197,364,0.04
197,389,0.04
198,23,0.06
198,78,0.04
198,89,0.04
198,296,0.04
198,383,0.04
198,450,0.06
199,88,0.04
199,312,0.04
200,36,0.04
200,214,0.04
200,236,0.04
200,432,0.04
200,459,0.04
202,86,0.04
202,102,0.04
202,144,0.04
202,163,0.04
202,210,0.04
202,229,0.04
202,295,0.04
202,324,0.04
202,493,0.04
204,461,0.04
204,494,0.04
205,130,0.04
205,180,0.04
205,236,0.04
205,270,0.04
205,391,0.04
205,434,0.04
205,444,0.04
206,131,0.04
206,241,0.04
206,306,0.04
