txn_id,merchant_id,cardholder_id,amount,status,txn_date,refund_flag,decline_reason
50,134,988,13.71,completed,2023-10-01,0,
51,430,512,40.17,completed,2023-10-01,0,
52,358,1295,11.0,completed,2023-10-01,0,
53,398,45,42.65,completed,2023-10-01,0,
54,282,98,20.1,completed,2023-10-01,0,
55,485,1060,50.82,completed,2023-10-01,0,
56,241,1832,18.63,completed,2023-10-01,0,
57,16,1613,13.0,completed,2023-10-01,0,
58,299,570,60.75,completed,2023-10-01,0,
59,482,1291,47.37,completed,2023-10-01,0,
60,267,1738,751.63,completed,2023-10-01,0,
61,11,1448,86.16,completed,2023-10-02,0,
62,205,1024,16.6,completed,2023-10-02,1,
63,452,1963,13.43,completed,2023-10-02,0,
64,332,1744,47.62,completed,2023-10-02,0,
65,90,592,31.03,completed,2023-10-02,0,
66,46,1258,56.66,completed,2023-10-02,0,
67,192,1974,25.97,completed,2023-10-02,0,
68,262,928,19.22,completed,2023-10-02,0,
69,453,1684,39.33,completed,2023-10-02,0,
70,489,1911,34.69,completed,2023-10-02,0,
71,484,1406,18.94,completed,2023-10-02,0,
72,81,1101,68.57,completed,2023-10-02,0,
73,498,782,16.19,completed,2023-10-02,0,
74,447,556,30.44,completed,2023-10-02,0,
75,254,769,7.8,completed,2023-10-02,0,
76,251,256,5.2,completed,2023-10-02,0,
77,257,744,9.33,completed,2023-10-02,0,
78,271,624,82.18,completed,2023-10-02,0,
79,35,541,22.83,completed,2023-10-02,0,
80,279,278,24.09,failed,2023-10-02,0,processing_error
81,68,1287,47.03,completed,2023-10-02,0,
82,233,613,86.09,completed,2023-10-02,0,
83,268,305,8.09,failed,2023-10-02,0,merchant_limit_exceeded
84,95,1538,26.58,completed,2023-10-02,0,
85,68,1622,8.42,completed,2023-10-02,0,
86,58,516,6.29,completed,2023-10-02,0,
87,148,444,55.41,completed,2023-10-02,1,
88,141,1068,81.54,completed,2023-10-02,0,
89,158,650,62.32,completed,2023-10-02,0,
90,390,254,10.71,completed,2023-10-02,0,
91,318,372,29.0,completed,2023-10-02,0,
92,2,54,99.04,completed,2023-10-02,0,
93,307,512,26.89,failed,2023-10-02,0,merchant_limit_exceeded
94,118,501,31.13,completed,2023-10-02,0,
95,178,1476,93.78,completed,2023-10-02,0,
96,137,934,8.23,completed,2023-10-02,0,
97,327,896,49.23,completed,2023-10-02,0,
98,491,339,10.42,completed,2023-10-02,0,
99,285,268,57.77,completed,2023-10-02,0,
100,376,857,13.71,completed,2023-10-02,0,
101,267,1703,138.88,completed,2023-10-02,0,
102,263,1064,12.49,completed,2023-10-02,0,
103,362,450,60.4,completed,2023-10-02,0,
104,118,913,47.93,completed,2023-10-02,0,
105,5,156,18.42,completed,2023-10-02,0,
106,271,797,36.79,completed,2023-10-02,0,
107,160,7,88.54,completed,2023-10-02,0,
108,2,843,92.9,failed,2023-10-02,0,processing_error
109,417,77,3.56,completed,2023-10-02,0,
110,346,1096,71.47,completed,2023-10-02,0,
111,463,1670,14.4,completed,2023-10-02,0,
112,292,1775,79.53,completed,2023-10-03,0,
113,358,1257,3.48,completed,2023-10-03,0,
114,267,122,199.43,completed,2023-10-03,0,
115,77,1741,27.08,completed,2023-10-03,0,
116,231,357,73.83,completed,2023-10-03,0,
117,228,321,8.05,completed,2023-10-03,0,
118,220,1344,93.54,completed,2023-10-03,0,
119,14,71,15.31,completed,2023-10-03,0,
120,184,1037,127.99,completed,2023-10-03,0,
121,114,1050,24.68,completed,2023-10-03,0,
122,262,189,59.03,completed,2023-10-03,0,
123,137,1489,126.39,completed,2023-10-03,0,
124,224,1246,20.6,completed,2023-10-03,0,
125,491,100,240.59,completed,2023-10-03,0,
126,498,814,44.96,completed,2023-10-03,0,
127,208,53,37.83,completed,2023-10-03,0,
128,191,735,33.2,completed,2023-10-03,0,
129,117,730,71.73,completed,2023-10-03,0,
130,190,1630,31.39,completed,2023-10-03,0,
131,12,616,14.76,completed,2023-10-03,1,
132,256,419,51.39,completed,2023-10-03,0,
133,367,1599,24.57,completed,2023-10-03,0,
134,174,298,92.24,completed,2023-10-03,0,
135,495,896,16.98,completed,2023-10-03,0,
136,315,1744,87.62,completed,2023-10-03,0,
137,243,1110,70.87,completed,2023-10-03,0,
138,418,1778,34.58,completed,2023-10-03,0,
139,239,959,25.5,completed,2023-10-03,0,
140,107,1798,10.94,completed,2023-10-03,0,
141,161,510,69.17,completed,2023-10-03,0,
142,182,285,30.51,completed,2023-10-03,0,
143,343,442,99.95,completed,2023-10-03,0,
144,384,1817,78.96,completed,2023-10-03,0,
145,500,1612,67.59,failed,2023-10-03,0,processing_error
146,319,127,14.68,completed,2023-10-03,0,
147,16,1869,82.35,completed,2023-10-03,0,
148,401,1836,61.09,completed,2023-10-03,0,
149,356,1973,41.26,completed,2023-10-03,0,
150,3,799,53.62,failed,2023-10-03,0,processing_error
151,383,1131,80.92,completed,2023-10-03,0,
152,144,870,7.79,completed,2023-10-03,0,
153,158,606,29.13,completed,2023-10-03,0,
154,180,334,12.06,completed,2023-10-03,0,
155,233,302,16.53,completed,2023-10-03,0,
156,434,632,14.19,completed,2023-10-03,0,
157,232,523,30.24,completed,2023-10-03,0,
158,447,1745,27.51,completed,2023-10-03,0,
159,487,852,125.58,completed,2023-10-03,0,
160,43,1996,20.28,completed,2023-10-03,0,
161,81,686,112.74,completed,2023-10-03,0,
162,170,1277,56.37,completed,2023-10-03,0,
163,228,929,55.45,completed,2023-10-03,0,
164,355,1144,30.36,completed,2023-10-03,0,
165,97,1959,28.39,completed,2023-10-03,0,
166,72,1563,22.98,completed,2023-10-03,0,
167,197,1606,22.84,completed,2023-10-04,0,
168,131,868,12.83,completed,2023-10-04,0,
169,337,1795,72.86,completed,2023-10-04,0,
170,325,252,19.17,completed,2023-10-04,0,
171,370,1468,19.83,completed,2023-10-04,0,
172,428,1865,35.78,completed,2023-10-04,0,
173,441,1935,22.13,completed,2023-10-04,0,
174,208,111,43.52,completed,2023-10-04,0,
175,59,54,36.9,completed,2023-10-04,0,
176,248,123,13.63,completed,2023-10-04,0,
177,96,85,91.57,completed,2023-10-04,0,
178,34,700,30.03,completed,2023-10-04,0,
179,481,1957,45.15,completed,2023-10-04,0,
180,223,590,40.44,failed,2023-10-04,0,insufficient_funds
181,247,1328,34.25,completed,2023-10-04,0,
182,35,1803,37.2,completed,2023-10-04,0,
183,127,511,244.34,completed,2023-10-04,0,
184,365,746,17.56,completed,2023-10-04,0,
185,347,1337,50.56,completed,2023-10-04,0,
186,85,1067,56.1,completed,2023-10-04,0,
187,174,78,46.34,completed,2023-10-04,0,
188,11,1939,66.02,completed,2023-10-04,0,
189,444,1876,41.58,completed,2023-10-04,1,
190,332,1156,29.04,completed,2023-10-04,0,
191,211,381,135.3,completed,2023-10-04,0,
192,50,28,60.41,completed,2023-10-04,0,
193,346,117,23.56,completed,2023-10-04,0,
194,333,923,54.68,completed,2023-10-04,0,
195,139,461,39.67,completed,2023-10-04,0,
196,447,601,20.79,completed,2023-10-04,0,
197,150,188,80.82,completed,2023-10-04,1,
198,466,163,30.79,completed,2023-10-04,0,
199,326,1727,33.8,completed,2023-10-04,0,
200,132,167,26.52,completed,2023-10-04,0,
201,303,447,56.54,completed,2023-10-04,1,
202,78,1875,161.49,completed,2023-10-04,0,
203,15,520,21.15,completed,2023-10-04,0,
204,427,666,53.23,completed,2023-10-04,0,
205,384,1097,18.85,completed,2023-10-04,0,
206,212,1305,33.52,completed,2023-10-04,0,
207,363,1913,333.37,completed,2023-10-04,0,
208,360,910,24.02,completed,2023-10-04,0,
209,325,1270,59.95,completed,2023-10-04,0,
210,321,1246,34.79,completed,2023-10-04,0,
211,341,182,37.7,completed,2023-10-04,0,
212,344,292,139.74,completed,2023-10-04,0,
213,468,1547,57.69,completed,2023-10-04,0,
214,316,985,81.56,completed,2023-10-04,0,
215,326,1257,25.18,completed,2023-10-04,0,
216,152,576,81.71,completed,2023-10-04,0,
217,469,681,26.51,completed,2023-10-04,0,
218,431,1594,11.4,completed,2023-10-04,0,
219,6,1323,21.15,completed,2023-10-04,0,
220,184,1118,37.21,completed,2023-10-04,0,
221,171,699,11.96,completed,2023-10-04,0,
222,344,124,69.92,completed,2023-10-04,0,
223,190,632,20.93,completed,2023-10-04,0,
224,150,395,12.92,completed,2023-10-04,0,
225,40,475,29.4,completed,2023-10-04,1,
226,297,58,94.36,completed,2023-10-04,0,
227,379,1936,8.6,completed,2023-10-04,0,
228,97,999,53.49,completed,2023-10-05,0,
229,333,204,8.19,completed,2023-10-05,0,
230,412,1826,8.13,completed,2023-10-05,0,
231,374,1969,58.81,completed,2023-10-05,0,
232,4,763,8.3,completed,2023-10-05,0,
233,25,1052,102.99,completed,2023-10-05,0,
234,470,609,10.78,completed,2023-10-05,0,
235,261,670,13.34,completed,2023-10-05,0,
236,160,1864,96.97,completed,2023-10-05,0,
237,242,120,23.92,completed,2023-10-05,0,
238,148,1405,8.97,completed,2023-10-05,0,
239,491,1303,31.66,completed,2023-10-05,0,
240,3,1072,58.14,completed,2023-10-05,0,
241,123,1890,110.31,completed,2023-10-05,0,
242,48,1735,19.48,completed,2023-10-05,0,
243,417,1352,11.56,completed,2023-10-05,0,
244,102,471,17.46,completed,2023-10-05,0,
245,55,1449,16.5,completed,2023-10-05,0,
246,291,1492,61.31,completed,2023-10-05,0,
247,266,1208,15.07,completed,2023-10-05,0,
248,486,1059,47.22,completed,2023-10-05,0,
249,111,1121,94.71,completed,2023-10-05,0,
250,4,1880,7.14,completed,2023-10-05,0,
251,116,1574,69.35,completed,2023-10-05,0,
252,60,1208,31.4,completed,2023-10-05,0,
253,185,611,10.99,completed,2023-10-05,0,
254,129,1760,32.12,completed,2023-10-05,0,
255,379,1629,31.35,completed,2023-10-05,0,
256,62,1210,47.74,completed,2023-10-05,0,
257,492,1442,20.35,completed,2023-10-05,0,
258,405,1877,27.74,completed,2023-10-05,0,
259,75,1391,26.8,completed,2023-10-05,0,
260,363,849,15.64,completed,2023-10-05,0,
261,332,1187,54.91,completed,2023-10-05,0,
262,195,1806,14.94,completed,2023-10-05,0,
263,483,1809,24.2,completed,2023-10-05,0,
264,180,1358,81.47,completed,2023-10-05,1,
265,102,1370,61.87,completed,2023-10-05,0,
266,239,1051,79.44,completed,2023-10-05,0,
267,397,1647,16.78,completed,2023-10-05,0,
268,329,1491,20.59,completed,2023-10-05,0,
269,94,1920,30.45,completed,2023-10-05,0,
270,73,1467,11.85,completed,2023-10-05,0,
271,334,306,31.21,completed,2023-10-05,0,
272,40,1628,45.88,completed,2023-10-06,0,
273,340,249,20.12,completed,2023-10-06,0,
274,426,752,123.64,completed,2023-10-06,0,
275,436,1692,42.51,completed,2023-10-06,0,
276,232,269,70.91,completed,2023-10-06,0,
277,359,582,27.03,completed,2023-10-06,0,
278,208,163,46.64,completed,2023-10-06,0,
279,415,1344,14.11,completed,2023-10-06,0,
280,262,1361,35.28,completed,2023-10-06,0,
281,406,1454,20.24,completed,2023-10-06,0,
282,384,1891,43.8,completed,2023-10-06,0,
283,146,314,38.24,completed,2023-10-06,0,
284,423,1042,13.94,completed,2023-10-06,0,
285,362,1062,133.63,completed,2023-10-06,0,
286,158,327,9.93,failed,2023-10-06,0,card_blocked
287,130,1453,71.44,completed,2023-10-06,0,
288,376,1634,422.38,completed,2023-10-06,0,
289,460,726,12.51,completed,2023-10-06,0,
290,396,1426,31.25,completed,2023-10-06,0,
291,94,717,29.5,completed,2023-10-06,0,
292,84,286,16.38,completed,2023-10-06,0,
293,429,1786,104.29,completed,2023-10-06,0,
294,219,1217,7.33,completed,2023-10-06,0,
295,244,1209,56.1,completed,2023-10-06,0,
296,72,466,9.5,completed,2023-10-06,0,
297,184,1963,23.35,completed,2023-10-06,0,
298,210,1841,10.57,completed,2023-10-06,0,
299,202,573,13.32,failed,2023-10-06,0,card_blocked
300,468,1993,39.15,completed,2023-10-06,0,
301,354,513,19.49,completed,2023-10-06,0,
302,79,331,38.03,completed,2023-10-06,0,
303,130,1823,19.47,completed,2023-10-06,0,
304,249,1205,11.97,completed,2023-10-06,0,
305,362,1965,117.91,completed,2023-10-06,0,
306,307,1898,19.63,completed,2023-10-06,0,
307,336,736,13.66,completed,2023-10-06,0,
308,417,608,26.09,completed,2023-10-06,0,
309,472,1423,31.66,completed,2023-10-06,0,
310,131,136,49.09,completed,2023-10-06,0,
311,213,882,20.94,completed,2023-10-06,0,
312,246,101,20.23,completed,2023-10-06,0,
313,339,901,253.23,completed,2023-10-06,0,
314,251,1794,34.78,completed,2023-10-06,0,
315,239,1916,61.48,completed,2023-10-06,0,
316,149,1353,82.73,completed,2023-10-06,0,
317,158,1824,47.07,completed,2023-10-06,0,
318,258,1418,18.13,completed,2023-10-07,0,
319,255,1282,22.22,completed,2023-10-07,0,
320,264,1264,22.74,completed,2023-10-07,0,
321,326,279,76.95,completed,2023-10-07,0,
322,340,124,26.77,completed,2023-10-07,0,
323,386,825,39.47,completed,2023-10-07,0,
324,38,1259,58.07,completed,2023-10-07,0,
325,432,791,22.15,completed,2023-10-07,0,
326,230,183,71.99,completed,2023-10-07,0,
327,258,240,3.95,completed,2023-10-07,0,
328,468,25,34.06,completed,2023-10-07,0,
329,172,66,137.01,completed,2023-10-07,0,
330,468,901,41.58,completed,2023-10-07,0,
331,154,74,51.21,completed,2023-10-07,0,
332,368,117,11.18,completed,2023-10-07,0,
333,256,1670,38.99,completed,2023-10-07,0,
334,345,1764,131.22,completed,2023-10-07,0,
335,197,316,13.27,completed,2023-10-07,0,
336,429,739,32.84,completed,2023-10-07,0,
337,86,142,13.77,failed,2023-10-07,0,merchant_limit_exceeded
338,350,503,41.99,completed,2023-10-07,0,
339,10,491,30.83,completed,2023-10-07,0,
340,382,920,21.01,completed,2023-10-07,0,
341,28,1608,146.52,completed,2023-10-07,0,
342,374,1441,78.17,completed,2023-10-07,0,
343,425,1946,24.89,completed,2023-10-07,0,
344,128,1816,85.6,completed,2023-10-07,0,
345,244,1050,70.82,failed,2023-10-07,0,merchant_limit_exceeded
346,356,42,45.5,completed,2023-10-07,0,
347,213,1260,36.59,completed,2023-10-07,0,
348,20,546,4.94,completed,2023-10-07,0,
349,203,320,53.37,completed,2023-10-07,0,
350,103,998,40.28,completed,2023-10-07,0,
351,324,126,24.25,completed,2023-10-07,0,
352,242,850,103.09,completed,2023-10-07,0,
353,145,515,34.46,completed,2023-10-07,0,
354,376,1613,34.23,completed,2023-10-07,0,
355,319,1500,3.03,completed,2023-10-07,0,
356,388,1541,87.38,completed,2023-10-07,0,
357,42,56,9.55,completed,2023-10-07,1,
358,445,1277,14.07,completed,2023-10-07,0,
359,344,930,6.77,completed,2023-10-07,0,
360,40,303,32.08,completed,2023-10-07,0,
361,294,876,143.49,completed,2023-10-07,0,
362,118,930,33.28,completed,2023-10-07,0,
363,361,24,36.32,completed,2023-10-07,0,
364,431,1222,21.44,completed,2023-10-07,0,
365,118,1316,8.35,completed,2023-10-07,0,
366,180,1063,14.41,completed,2023-10-07,0,
367,241,894,38.08,failed,2023-10-07,0,insufficient_funds
368,338,376,80.72,completed,2023-10-08,0,
369,400,738,27.26,completed,2023-10-08,0,
370,436,727,11.83,completed,2023-10-08,0,
371,370,1592,94.29,completed,2023-10-08,0,
372,101,74,69.63,completed,2023-10-08,0,
373,164,1938,37.7,completed,2023-10-08,0,
374,89,1045,33.87,completed,2023-10-08,0,
375,98,1519,17.98,completed,2023-10-08,0,
376,197,861,25.01,completed,2023-10-08,0,
377,172,1074,33.97,completed,2023-10-08,0,
378,177,404,39.63,completed,2023-10-08,0,
379,85,422,66.75,completed,2023-10-08,0,
380,307,204,11.04,completed,2023-10-08,0,
381,129,1921,6.55,completed,2023-10-08,0,
382,61,1360,6.52,completed,2023-10-08,0,
383,49,868,76.06,completed,2023-10-08,0,
384,290,1092,17.13,completed,2023-10-08,0,
385,261,409,46.98,completed,2023-10-08,0,
386,66,1044,8.53,completed,2023-10-08,0,
387,71,1297,16.73,completed,2023-10-08,0,
388,391,1106,21.69,completed,2023-10-08,0,
389,472,492,11.69,completed,2023-10-08,0,
390,263,178,58.11,completed,2023-10-08,0,
391,437,1626,4.43,completed,2023-10-08,0,
392,452,1606,12.53,completed,2023-10-08,0,
393,402,1457,15.39,completed,2023-10-08,0,
394,425,341,11.24,completed,2023-10-08,0,
395,387,1223,5.35,completed,2023-10-08,0,
396,46,1009,11.76,completed,2023-10-08,0,
397,455,1656,17.75,completed,2023-10-08,0,
398,244,1113,46.92,completed,2023-10-08,0,
399,346,668,38.73,completed,2023-10-08,0,
400,332,1006,4.31,completed,2023-10-08,0,
401,301,860,15.73,completed,2023-10-08,0,
402,23,1782,16.88,completed,2023-10-08,0,
403,483,693,56.61,completed,2023-10-08,0,
404,283,1102,73.15,completed,2023-10-08,0,
405,303,700,21.32,completed,2023-10-08,0,
406,244,118,20.73,completed,2023-10-08,0,
407,480,183,15.39,failed,2023-10-08,0,processing_error
408,54,336,38.12,completed,2023-10-08,0,
409,484,1508,11.01,completed,2023-10-08,0,
410,433,1240,30.33,completed,2023-10-08,0,
411,299,706,17.93,completed,2023-10-08,0,
412,278,889,43.41,completed,2023-10-08,0,
413,81,1107,61.45,completed,2023-10-08,0,
414,218,639,34.29,completed,2023-10-08,0,
415,233,708,14.07,completed,2023-10-08,0,
416,290,1978,55.14,completed,2023-10-08,0,
417,93,676,17.24,completed,2023-10-08,0,
418,294,225,18.94,completed,2023-10-08,0,
419,330,1594,128.27,completed,2023-10-08,0,
420,34,1814,41.75,completed,2023-10-08,0,
421,67,240,19.87,completed,2023-10-08,0,
422,481,1713,32.83,completed,2023-10-09,0,
423,479,638,46.85,completed,2023-10-09,0,
424,157,621,63.92,completed,2023-10-09,0,
425,162,1171,34.72,completed,2023-10-09,0,
426,314,240,328.22,completed,2023-10-09,0,
427,196,975,45.2,completed,2023-10-09,0,
428,19,1737,30.03,completed,2023-10-09,0,
429,369,1251,20.87,completed,2023-10-09,0,
430,7,1992,43.26,completed,2023-10-09,0,
431,400,840,33.62,completed,2023-10-09,0,
432,356,1348,12.65,completed,2023-10-09,0,
433,364,550,15.38,completed,2023-10-09,0,
434,483,29,69.2,completed,2023-10-09,0,
435,60,1833,43.7,failed,2023-10-09,0,card_blocked
436,455,1673,14.89,completed,2023-10-09,0,
437,205,278,9.81,completed,2023-10-09,0,
438,471,1640,41.24,completed,2023-10-09,0,
439,64,620,22.09,completed,2023-10-09,0,
440,14,1887,203.96,completed,2023-10-09,0,
441,468,1120,11.88,completed,2023-10-09,0,
442,424,1990,12.49,completed,2023-10-09,0,
443,51,841,45.72,completed,2023-10-09,0,
444,328,143,49.98,completed,2023-10-09,0,
445,425,1258,48.66,completed,2023-10-09,0,
446,208,1262,8.74,completed,2023-10-09,0,
447,289,56,39.31,completed,2023-10-09,0,
448,452,209,43.32,completed,2023-10-09,0,
449,281,838,6.87,completed,2023-10-09,0,
450,80,1978,10.54,completed,2023-10-09,0,
451,344,1179,22.96,completed,2023-10-09,0,
452,165,175,72.19,completed,2023-10-09,0,
453,384,558,43.05,completed,2023-10-09,0,
454,440,1567,149.36,completed,2023-10-09,0,
455,250,1453,30.67,completed,2023-10-09,0,
456,401,129,79.4,completed,2023-10-09,0,
457,471,402,21.26,completed,2023-10-09,0,
458,277,909,23.89,completed,2023-10-09,0,
459,492,501,12.6,completed,2023-10-09,0,
460,175,972,54.42,completed,2023-10-09,0,
461,23,679,4.77,completed,2023-10-09,0,
462,306,378,36.27,completed,2023-10-09,0,
463,241,1161,27.07,completed,2023-10-09,1,
464,416,1981,29.12,completed,2023-10-09,0,
465,376,1387,16.33,completed,2023-10-09,1,
466,306,951,28.27,completed,2023-10-09,0,
467,355,1771,48.33,completed,2023-10-09,0,
468,326,1532,22.72,completed,2023-10-09,0,
469,170,1970,28.34,completed,2023-10-09,0,
470,143,1273,43.04,completed,2023-10-09,0,
471,155,511,51.03,completed,2023-10-09,0,
472,389,654,19.59,completed,2023-10-09,0,
473,308,791,42.11,completed,2023-10-10,0,
474,133,1019,28.31,completed,2023-10-10,0,
475,123,418,37.63,completed,2023-10-10,0,
476,494,1883,15.82,completed,2023-10-10,0,
477,366,1518,34.18,completed,2023-10-10,0,
478,85,1185,42.38,failed,2023-10-10,0,card_blocked
479,243,1645,51.7,failed,2023-10-10,0,processing_error
480,20,1040,14.69,completed,2023-10-10,0,
481,361,1638,48.04,completed,2023-10-10,0,
482,26,1016,29.14,completed,2023-10-10,0,
483,452,444,9.91,completed,2023-10-10,0,
484,295,366,7.22,completed,2023-10-10,0,
485,46,1777,20.63,completed,2023-10-10,0,
486,139,1306,36.76,completed,2023-10-10,0,
487,23,1153,61.09,completed,2023-10-10,0,
488,424,1555,104.67,completed,2023-10-10,0,
489,309,553,53.21,completed,2023-10-10,0,
490,382,1233,28.53,completed,2023-10-10,0,
491,455,1494,4.93,completed,2023-10-10,0,
492,322,955,9.42,completed,2023-10-10,0,
493,453,605,38.75,failed,2023-10-10,0,card_blocked
494,311,1082,28.32,completed,2023-10-10,0,
495,251,973,59.01,completed,2023-10-10,0,
496,347,484,77.06,completed,2023-10-10,0,
497,31,541,8.35,completed,2023-10-10,0,
498,455,1918,13.86,completed,2023-10-10,0,
499,430,1285,51.64,completed,2023-10-10,0,
500,284,561,10.8,completed,2023-10-10,0,
501,197,684,18.62,completed,2023-10-10,0,
502,9,30,23.03,completed,2023-10-10,0,
503,40,311,23.36,failed,2023-10-10,0,processing_error
504,9,620,27.14,completed,2023-10-10,0,
505,37,1245,37.96,completed,2023-10-10,0,
506,264,1198,39.53,completed,2023-10-10,0,
507,330,1426,47.79,completed,2023-10-10,0,
508,100,274,26.42,completed,2023-10-10,0,
509,268,1546,16.52,completed,2023-10-10,0,
510,125,1649,212.38,completed,2023-10-10,0,
511,303,513,61.38,completed,2023-10-10,0,
512,207,432,59.43,completed,2023-10-10,0,
513,17,1682,34.78,failed,2023-10-10,0,insufficient_funds
514,188,483,173.63,completed,2023-10-10,0,
515,353,1710,75.95,completed,2023-10-10,0,
516,408,1841,25.41,completed,2023-10-10,0,
517,281,1038,27.52,completed,2023-10-10,0,
518,128,1555,157.46,failed,2023-10-10,0,card_blocked
519,41,910,12.06,completed,2023-10-10,0,
520,141,989,24.29,completed,2023-10-10,0,
521,48,964,13.79,completed,2023-10-11,0,
522,295,1584,48.59,completed,2023-10-11,0,
523,182,1023,43.09,completed,2023-10-11,0,
524,345,969,17.55,completed,2023-10-11,0,
525,309,1065,46.15,completed,2023-10-11,0,
526,480,1809,80.75,completed,2023-10-11,0,
527,429,1642,20.17,completed,2023-10-11,0,
528,126,625,24.79,completed,2023-10-11,0,
529,111,939,61.32,completed,2023-10-11,0,
530,342,651,63.39,completed,2023-10-11,0,
531,426,1954,17.28,completed,2023-10-11,1,
532,63,655,26.25,failed,2023-10-11,0,insufficient_funds
533,204,880,106.54,completed,2023-10-11,0,
534,370,1867,31.04,completed,2023-10-11,0,
535,2,938,24.87,completed,2023-10-11,0,
536,500,1280,9.64,completed,2023-10-11,0,
537,102,561,26.43,completed,2023-10-11,0,
538,149,302,17.22,completed,2023-10-11,0,
539,190,333,37.11,completed,2023-10-11,0,
540,472,1570,24.69,completed,2023-10-11,0,
541,262,982,9.93,completed,2023-10-11,0,
542,494,1890,81.85,completed,2023-10-11,0,
543,351,94,82.87,completed,2023-10-11,0,
544,162,1562,33.04,completed,2023-10-11,0,
545,346,1742,20.07,completed,2023-10-11,0,
546,163,463,42.12,completed,2023-10-11,0,
547,156,305,76.83,completed,2023-10-11,0,
548,128,1585,17.41,completed,2023-10-11,0,
549,217,1599,142.3,completed,2023-10-11,0,
550,81,1326,61.96,completed,2023-10-11,0,
551,78,1624,177.4,completed,2023-10-11,0,
552,349,1259,44.49,completed,2023-10-11,1,
553,123,401,41.68,completed,2023-10-11,0,
554,299,442,24.81,completed,2023-10-11,0,
555,149,1860,230.88,failed,2023-10-11,0,merchant_limit_exceeded
556,292,954,60.27,completed,2023-10-11,0,
557,2,1630,8.1,completed,2023-10-11,0,
558,234,87,50.15,completed,2023-10-11,0,
559,252,1735,19.21,completed,2023-10-11,0,
560,263,1933,65.09,completed,2023-10-11,0,
561,48,746,38.93,completed,2023-10-11,0,
562,402,1606,65.55,completed,2023-10-11,0,
563,301,179,48.45,completed,2023-10-11,0,
564,78,1358,111.72,completed,2023-10-11,0,
565,334,131,6.73,completed,2023-10-11,0,
566,193,1747,32.67,completed,2023-10-11,0,
567,335,929,15.81,completed,2023-10-11,0,
568,423,938,45.38,completed,2023-10-12,0,
569,301,259,61.0,completed,2023-10-12,0,
570,235,1021,23.93,completed,2023-10-12,0,
571,47,356,15.83,completed,2023-10-12,0,
572,46,631,42.59,completed,2023-10-12,0,
573,307,1625,88.61,completed,2023-10-12,0,
574,57,1119,56.37,completed,2023-10-12,0,
575,461,707,97.49,completed,2023-10-12,0,
576,194,1577,18.73,completed,2023-10-12,0,
577,92,140,99.59,completed,2023-10-12,0,
578,481,756,129.47,completed,2023-10-12,0,
579,492,1023,35.18,completed,2023-10-12,0,
580,191,525,25.29,completed,2023-10-12,0,
581,365,1878,55.42,completed,2023-10-12,0,
582,24,256,73.37,completed,2023-10-12,0,
583,144,1275,47.97,completed,2023-10-12,0,
584,228,882,135.73,completed,2023-10-12,0,
585,101,1303,152.54,completed,2023-10-12,0,
